Frequency (Hz)	Level (dB)
4810.546875	-53.829075
4816.406250	-53.785458
4822.265625	-53.838783
4828.125000	-53.907341
4833.984375	-53.871922
4839.843750	-53.886074
4845.703125	-53.961472
4851.562500	-54.009632
4857.421875	-53.896164
4863.281250	-53.925659
4869.140625	-53.926418
4875.000000	-54.263378
4880.859375	-54.283718
4886.718750	-54.148239
4892.578125	-54.220371
4898.437500	-53.822327
4904.296875	-54.077717
4910.156250	-54.191715
4916.015625	-54.197968
4921.875000	-54.085602
4927.734375	-54.360588
4933.593750	-54.257961
4939.453125	-53.995186
4945.312500	-53.947044
4951.171875	-54.045948
4957.031250	-54.355621
4962.890625	-54.629498
4968.750000	-54.471420
4974.609375	-54.363628
4980.468750	-54.126572
4986.328125	-54.030235
4992.187500	-53.986519
4998.046875	-54.326180
5003.906250	-54.498913
5009.765625	-54.331371
5015.625000	-54.430775
5021.484375	-54.391258
5027.343750	-54.372066
5033.203125	-54.470829
5039.062500	-54.161037
5044.921875	-54.391449
5050.781250	-54.540134
5056.640625	-54.536167
5062.500000	-54.245392
5068.359375	-54.352543
5074.218750	-54.470917
5080.078125	-54.474857
5085.937500	-54.590683
5091.796875	-54.410774
5097.656250	-54.438519
5103.515625	-54.401173
5109.375000	-54.604816
5115.234375	-54.423496
5121.093750	-54.479198
5126.953125	-54.506821
5132.812500	-54.533974
5138.671875	-54.514721
5144.531250	-54.566868
5150.390625	-54.486835
5156.250000	-54.656406
5162.109375	-54.371056
5167.968750	-54.282791
5173.828125	-54.349739
5179.687500	-54.466591
5185.546875	-54.382912
5191.406250	-54.334438
5197.265625	-54.571125
5203.125000	-54.547997
5208.984375	-54.656204
5214.843750	-54.610031
5220.703125	-54.952785
5226.562500	-55.043468
5232.421875	-54.555431
5238.281250	-54.393188
5244.140625	-54.474545
5250.000000	-54.707363
5255.859375	-54.466827
5261.718750	-54.268681
5267.578125	-54.935200
5273.437500	-54.925686
5279.296875	-54.656345
5285.156250	-54.767017
5291.015625	-54.643452
5296.875000	-54.959656
5302.734375	-55.121513
5308.593750	-54.857319
5314.453125	-55.004562
5320.312500	-54.709400
5326.171875	-54.615086
5332.031250	-54.742413
5337.890625	-54.848606
5343.750000	-54.989197
5349.609375	-55.021706
5355.468750	-54.788803
5361.328125	-54.688057
5367.187500	-54.656731
5373.046875	-55.019112
5378.906250	-55.005234
5384.765625	-54.823254
5390.625000	-54.854969
5396.484375	-54.718925
5402.343750	-54.789658
5408.203125	-54.931591
5414.062500	-55.015564
5419.921875	-54.730450
5425.781250	-54.722424
5431.640625	-54.862907
5437.500000	-55.072853
5443.359375	-55.020626
5449.218750	-54.718269
5455.078125	-54.905529
5460.937500	-54.966770
5466.796875	-54.884624
5472.656250	-54.951557
5478.515625	-55.047661
5484.375000	-55.397198
5490.234375	-55.226944
5496.093750	-54.853912
5501.953125	-54.967907
5507.812500	-54.945713
5513.671875	-54.941372
5519.531250	-54.910191
5525.390625	-55.068497
5531.250000	-55.293766
5537.109375	-55.095814
5542.968750	-55.324436
5548.828125	-55.210545
5554.687500	-55.069145
5560.546875	-54.966469
5566.406250	-55.148499
5572.265625	-55.290894
5578.125000	-55.391384
5583.984375	-55.063190
5589.843750	-55.061951
