Frequency (Hz)	Level (dB)
5015.625000	-54.426453
5021.484375	-54.392014
5027.343750	-54.371414
5033.203125	-54.471447
5039.062500	-54.158253
5044.921875	-54.389992
5050.781250	-54.540184
5056.640625	-54.532932
5062.500000	-54.249413
5068.359375	-54.347912
5074.218750	-54.469166
5080.078125	-54.474396
5085.937500	-54.589615
5091.796875	-54.411869
5097.656250	-54.434235
5103.515625	-54.405308
5109.375000	-54.607918
5115.234375	-54.423302
5121.093750	-54.478889
5126.953125	-54.506073
5132.812500	-54.533569
5138.671875	-54.512501
5144.531250	-54.568768
5150.390625	-54.485931
5156.250000	-54.656769
5162.109375	-54.369923
5167.968750	-54.281689
5173.828125	-54.349167
5179.687500	-54.466728
5185.546875	-54.384605
5191.406250	-54.334522
5197.265625	-54.569466
5203.125000	-54.555504
5208.984375	-54.660137
5214.843750	-54.609127
5220.703125	-54.949970
5226.562500	-55.038147
5232.421875	-54.553486
5238.281250	-54.395222
5244.140625	-54.469337
5250.000000	-54.708279
5255.859375	-54.461243
5261.718750	-54.264130
5267.578125	-54.931808
5273.437500	-54.928574
5279.296875	-54.654190
5285.156250	-54.764984
5291.015625	-54.642380
5296.875000	-54.961029
5302.734375	-55.121056
5308.593750	-54.854870
5314.453125	-55.003189
5320.312500	-54.710045
5326.171875	-54.611412
5332.031250	-54.744286
5337.890625	-54.850418
5343.750000	-54.989006
5349.609375	-55.021492
5355.468750	-54.787678
5361.328125	-54.683033
5367.187500	-54.653664
5373.046875	-55.022636
5378.906250	-55.001343
5384.765625	-54.830391
5390.625000	-54.848789
5396.484375	-54.721638
5402.343750	-54.792084
5408.203125	-54.930027
5414.062500	-55.016922
5419.921875	-54.731758
5425.781250	-54.723145
5431.640625	-54.862762
5437.500000	-55.073673
5443.359375	-55.018410
5449.218750	-54.718117
5455.078125	-54.904209
5460.937500	-54.968063
5466.796875	-54.884830
5472.656250	-54.953934
5478.515625	-55.046261
5484.375000	-55.394032
5490.234375	-55.222889
5496.093750	-54.852325
5501.953125	-54.964214
5507.812500	-54.945797
5513.671875	-54.939552
5519.531250	-54.907688
5525.390625	-55.069691
5531.250000	-55.293358
5537.109375	-55.095924
5542.968750	-55.325348
5548.828125	-55.209869
5554.687500	-55.068008
5560.546875	-54.964462
5566.406250	-55.147636
5572.265625	-55.291668
5578.125000	-55.387508
5583.984375	-55.061691
5589.843750	-55.066948
5595.703125	-55.495674
5601.562500	-55.305107
5607.421875	-55.239975
5613.281250	-55.214867
5619.140625	-55.208683
5625.000000	-55.297993
5630.859375	-55.305065
5636.718750	-55.272968
5642.578125	-55.165882
5648.437500	-55.023434
5654.296875	-55.196663
5660.156250	-55.292133
5666.015625	-55.073639
5671.875000	-54.855396
5677.734375	-55.211155
5683.593750	-55.406414
5689.453125	-55.465061
5695.312500	-55.518051
5701.171875	-55.451992
5707.031250	-55.498009
5712.890625	-55.495579
5718.750000	-55.241955
5724.609375	-55.329632
5730.468750	-55.542694
5736.328125	-55.489269
5742.187500	-55.355522
5748.046875	-55.320621
5753.906250	-55.449539
5759.765625	-55.367153
5765.625000	-55.537575
5771.484375	-55.564243
5777.343750	-55.549561
5783.203125	-55.476219
5789.062500	-55.362778
5794.921875	-55.324291
5800.781250	-55.641689
5806.640625	-55.583027
5812.500000	-55.378445
5818.359375	-55.387886
5824.218750	-55.766582
5830.078125	-55.608406
5835.937500	-55.669632
5841.796875	-55.798351
5847.656250	-55.741539
5853.515625	-55.775185
5859.375000	-55.716267
5865.234375	-55.319401
5871.093750	-55.388145
5876.953125	-55.591862
5882.812500	-55.843578
5888.671875	-55.884895
5894.531250	-55.837166
5900.390625	-55.935505
5906.250000	-55.799419
5912.109375	-55.618263
5917.968750	-55.757637
5923.828125	-55.825863
5929.687500	-55.820702
5935.546875	-55.857838
5941.406250	-55.583519
5947.265625	-55.383751
5953.125000	-55.658501
5958.984375	-55.915699
5964.843750	-55.992493
5970.703125	-55.546371
5976.562500	-55.434437
5982.421875	-55.561497
5988.281250	-55.692242
5994.140625	-56.111092
6000.000000	-56.105572
6005.859375	-56.094551
6011.718750	-56.074463
6017.578125	-56.163445
6023.437500	-56.074741
6029.296875	-55.766563
6035.156250	-55.779350
6041.015625	-55.829994
6046.875000	-55.710194
6052.734375	-56.002357
6058.593750	-55.909813
6064.453125	-55.635387
6070.312500	-56.244476
6076.171875	-56.433300
6082.031250	-56.290581
6087.890625	-55.913097
6093.750000	-56.099411
6099.609375	-56.106319
6105.468750	-55.862942
6111.328125	-56.004471
6117.187500	-56.123913
6123.046875	-55.935966
6128.906250	-55.773880
6134.765625	-55.743301
6140.625000	-55.778244
6146.484375	-56.043755
6152.343750	-56.002861
6158.203125	-55.623608
6164.062500	-55.673309
6169.921875	-55.655880
6175.781250	-55.780205
6181.640625	-55.911110
6187.500000	-56.094845
6193.359375	-56.024021
6199.218750	-56.216141
6205.078125	-56.324501
6210.937500	-56.146626
6216.796875	-56.141323
6222.656250	-56.222168
6228.515625	-56.395817
6234.375000	-56.205608
6240.234375	-56.118397
6246.093750	-56.218452
6251.953125	-56.299377
6257.812500	-55.752010
6263.671875	-55.851276
6269.531250	-56.080524
6275.390625	-56.031349
6281.250000	-56.220474
6287.109375	-56.365891
6292.968750	-55.948750
6298.828125	-56.080738
6304.687500	-56.412010
6310.546875	-56.246170
6316.406250	-56.119804
6322.265625	-55.922520
6328.125000	-56.011208
6333.984375	-56.412945
6339.843750	-56.315323
6345.703125	-56.082462
6351.562500	-56.117325
6357.421875	-56.053780
6363.281250	-56.136913
6369.140625	-56.161861
6375.000000	-56.078510
6380.859375	-56.285126
6386.718750	-56.142429
6392.578125	-56.197838
6398.437500	-56.098866
6404.296875	-56.338821
6410.156250	-56.767094
6416.015625	-56.844902
6421.875000	-56.322487
6427.734375	-56.264019
6433.593750	-56.499046
6439.453125	-56.378166
6445.312500	-56.393452
6451.171875	-56.473934
6457.031250	-56.534828
6462.890625	-56.497242
6468.750000	-56.534611
6474.609375	-56.549648
6480.468750	-56.332050
6486.328125	-56.421696
6492.187500	-56.405830
6498.046875	-56.572971
6503.906250	-56.557377
6509.765625	-56.729465
6515.625000	-56.755951
6521.484375	-56.497658
6527.343750	-56.316509
6533.203125	-56.333672
6539.062500	-56.531315
6544.921875	-56.610210
6550.781250	-56.629955
6556.640625	-56.457703
6562.500000	-56.743572
6568.359375	-56.578491
6574.218750	-56.674194
6580.078125	-56.615685
6585.937500	-56.415390
6591.796875	-56.387711
