BEGIN (praclist)
//	OrigNr	SET	NRSYLL	CONSON	NR IN SET	COND	STIMULUS	LIST
	84,	21,	1,	"sj/s+f",	4,	"N",	"sjoerd, fasces, facie, sjans",		2;
	85,	22,	1,	"s/sj+m",	1,	"B",	"sip, sjoemel, sjekkie, sof",		2;
	86,	22,	1,	"s/sj+m",	2,	"W",	"sop, sjamaan, chauffeur, cel",		2;
	87,	22,	1,	"s/sj+m",	3,	"S",	"sik, machien, michel, sol",		2;
	88,	22,	1,	"s/sj+m",	4,	"N",	"sein, misje, muisje, sim",		2;
	89,	23,	1,	"v/z+n",	1,	"B",	"vit, zone, zanik, vos",		2;
	90,	23,	1,	"v/z+n",	2,	"W",	"vief, zonee, zonaal, vod",		2;
	91,	23,	1,	"v/z+n",	3,	"S",	"vuist, nasaal, nazist, vol",		2;
	92,	23,	1,	"v/z+n",	4,	"N",	"val, nazi, neuzen, vang",		2;
	93,	24,	1,	"z/v+t",	1,	"B",	"zes, vutter, vette, zal",		2;
	94,	24,	1,	"z/v+t",	2,	"W",	"zeil, votief, vitaal, zaag",		2;
	95,	24,	1,	"z/v+t",	3,	"S",	"zin, tevoet, gevat, zon",		2;
	96,	24,	1,	"z/v+t",	4,	"N",	"zijn, tover, toeval, zang",		2;
END (testlist 2)								
								
